No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,52.10B,53.82,172.77,0.19%,"1,647,405"
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,9.18B,21.42,48.56,1.27%,"5,706,477"
3,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,17.39,-1.19%,"252,223"
4,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1.22B,100.52,9.75,-0.10%,"4,831"
5,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,77.05M,-,2.36,-3.28%,"34,490"
6,AACIU,Armada Acquisition Corp. I Unit,Financial,Shell Companies,USA,-,-,9.90,-0.60%,"98,137"
7,AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USA,649.51M,-,32.33,-1.01%,"43,904"
8,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,66.62,2.10%,"3,046"
9,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,121.90M,-,3.78,0.27%,"90,345"
10,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,13.64B,-,20.90,1.85%,"51,542,957"
11,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,51.50M,0.70,25.12,2.49%,"109,689"
12,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,77.03M,5.13,3.91,2.89%,"10,588"
13,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,890.43M,9.11,27.80,1.09%,"175,629"
14,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,194.32M,-,7.16,2.58%,"228,403"
15,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.51B,47.68,68.08,3.34%,"225,068"
16,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,13.61B,22.95,214.09,1.36%,"492,412"
17,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2472.49B,28.76,146.83,0.67%,"64,652,869"
18,AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA,388.00M,-,9.70,0.10%,264
19,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,2.41B,128.77,38.89,0.73%,"153,606"
20,AATC,Autoscope Technologies Corporation,Technology,Scientific & Technical Instruments,USA,41.73M,14.13,7.70,-0.13%,"21,977"
21,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,55.21M,-,0.40,-2.53%,"245,699"
22,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2.33B,4.87,77.56,4.81%,"817,863"
23,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,86.70,0.62%,"1,169,230"
24,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,5.16B,15.60,51.98,2.28%,"226,656"
25,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,75.46B,80.54,35.68,1.36%,"1,199,960"
26,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,190.34B,28.90,107.36,0.89%,"5,837,256"
27,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,25.62B,-,122.55,0.38%,"801,290"
28,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.43B,8.15,49.54,4.43%,"294,615"
29,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,5.73B,28.58,21.15,-0.89%,"3,950,456"
30,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,4.83B,211.40,21.14,0.48%,"36,776"
31,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,127.59M,-,1.22,2.52%,"189,999"
32,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,27.13,0.71%,"4,013"
33,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,46.42B,16.86,2.95,1.03%,"41,831,955"
34,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,3.66B,8.59,191.00,2.85%,"185,258"
35,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,186.72M,-,9.74,0.21%,"1,337"
36,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,42.85M,-,3.02,0.17%,"51,564"
37,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,3.08B,21.04,44.91,1.06%,"169,369"
38,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,16.04B,103.92,350.61,0.47%,"128,254"
39,ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA,111.13B,-,175.13,3.04%,"5,343,625"
40,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,650.44M,-,16.12,3.80%,"244,791"
41,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,2.62B,7.98,18.36,0.71%,"1,001,933"
42,ABSI,Absci Corporation,Healthcare,Biotechnology,USA,1.12B,-,11.46,3.06%,"168,318"
43,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,721.27M,125.76,11.57,2.03%,"38,550"
44,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,223.27B,35.07,125.30,0.52%,"4,134,737"
45,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,718.38M,10.31,36.84,3.22%,"48,184"
46,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,445.07M,-,4.53,2.03%,"2,459,717"
47,ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,USA,55.51M,-,2.48,-3.68%,"82,553"
48,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,836.38M,7.83,37.09,2.71%,"7,859"
49,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.40B,31.13,50.02,1.56%,"178,998"
50,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,2.69B,-,17.37,1.94%,"1,529,170"
51,ACAHU,Atlantic Coastal Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.91,-0.40%,9
52,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.54B,-,6.15,2.33%,"5,385,333"
53,ACBAU,Ace Global Business Acquisition Limited,Financial,Shell Companies,Hong Kong,-,-,10.38,0.29%,1
54,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,490.94M,11.53,24.28,4.84%,"131,168"
55,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,7.10B,771.38,50.14,1.44%,"681,455"
56,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,2.90B,-,44.33,1.33%,"210,051"
57,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,860.27M,11.36,9.01,1.81%,"286,854"
58,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1.09B,44.38,11.85,-0.17%,"160,217"
59,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,37.09M,-,2.59,2.58%,"54,482"
60,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,68.56,0.38%,"46,653"
61,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,226.99M,-,7.28,3.85%,"45,989"
62,ACEV,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,284.62M,-,9.91,0.10%,"48,261"
63,ACEVU,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.16,-0.33%,106
64,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,15.39B,7.84,39.00,-0.05%,"1,545,590"
65,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,-,5.33,26.50,-0.56%,"22,877"
66,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,22.14B,24.91,20.13,-5.89%,"328,912"
67,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,5.68B,35.76,65.15,-0.53%,"330,008"
68,ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,United Kingdom,241.99M,-,5.95,1.71%,"25,385"
69,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,80.45M,-,8.85,-0.67%,"74,730"
70,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,14.90B,26.03,31.78,5.02%,"1,060,938"
71,ACIC,Atlas Crest Investment Corp.,Financial,Shell Companies,USA,496.00M,-,9.92,0.00%,0
72,ACII,Atlas Crest Investment Corp. II,Financial,Shell Companies,USA,419.18M,-,9.71,0.00%,"3,984"
73,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,30.67,1.15%,"82,819"
74,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,499.80M,-,7.00,4.63%,"358,611"
75,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.76B,42.75,31.42,1.39%,"812,580"
76,ACKIT,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,-,-,10.05,0.30%,"6,424"
77,ACKIU,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,267.90M,-,10.30,0.24%,"5,925"
78,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.70B,28.32,50.13,3.42%,"155,576"
79,ACM,AECOM,Industrials,Engineering & Construction,USA,9.66B,50.34,66.50,6.11%,"1,815,030"
80,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,2.02B,77.32,105.00,2.68%,"199,876"
81,ACN,Accenture plc,Technology,Information Technology Services,Ireland,233.24B,38.33,343.00,2.49%,"4,524,815"
82,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,239.57M,8.07,27.60,-0.04%,"7,831"
83,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,49.24M,-,4.46,2.29%,"41,546"
84,ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,196.51M,-,11.27,0.09%,"74,608"
85,ACQR,Independence Holdings Corp.,Financial,Shell Companies,USA,383.17M,-,9.75,0.00%,"14,531"
86,ACQRU,Independence Holdings Corp.,Financial,Shell Companies,USA,-,-,9.92,0.61%,47
87,ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,USA,151.36M,3.48,15.75,0.00%,"31,915"
88,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA,739.41M,8.87,15.56,0.58%,"268,471"
89,ACRO,Acropolis Infrastructure Acquisition Corp.,Financial,Shell Companies,USA,292.80M,-,9.76,0.00%,"1,354"
90,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.06B,-,18.01,3.92%,"341,473"
91,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,121.60M,-,1.02,-0.97%,"539,656"
92,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,116.80M,-,2.10,-0.94%,"432,142"
93,ACT,"Enact Holdings, Inc.",Financial,Exchange Traded Fund,USA,-,-,21.78,2.06%,"370,751"
94,ACTDU,ArcLight Clean Transition Corp. II,Financial,Shell Companies,USA,-,-,9.90,-0.89%,500
95,ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA,342.49M,-,7.15,7.68%,"811,276"
96,ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA,119.69M,10.15,34.10,-1.25%,"24,638"
97,ACV,AllianzGI Diversified Income & Convertible Fund,Financial,Asset Management,USA,368.50M,-,35.59,0.76%,"17,794"
98,ACVA,ACV Auctions Inc.,Technology,Software - Application,USA,3.02B,-,18.49,0.82%,"2,188,358"
99,ACWF,iShares MSCI Global Multifactor ETF,Financial,Exchange Traded Fund,USA,-,-,38.27,0.76%,"23,787"
100,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,103.24,1.10%,"1,882,571"
101,ACWV,iShares MSCI Global Min Vol Factor ETF,Financial,Exchange Traded Fund,USA,-,-,105.44,0.40%,"124,915"
102,ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,57.20,1.06%,"668,842"
103,ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,53.63M,-,4.75,2.15%,"35,274"
104,ACY,AeroCentury Corp.,Industrials,Rental & Leasing Services,USA,80.28M,-,53.88,27.35%,"352,093"
