No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,47.06B,47.54,152.59,1.58%,"1,427,339"
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,9.28B,21.44,48.6,0.41%,"9,198,865"
3,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,17.86,0.25%,"149,479"
4,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1.22B,100.62,9.76,0.00%,"89,792"
5,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,71.37M,-,2.28,0.00%,"17,961"
6,AACIU,Armada Acquisition Corp. I Unit,Financial,Shell Companies,USA,-,-,9.97,0.61%,89
7,AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USA,576.04M,-,26.78,-1.03%,"70,471"
8,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,65.36,1.07%,"2,410"
9,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,127.92M,-,3.99,3.10%,"481,507"
10,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,12.78B,-,19.64,0.15%,"21,238,031"
11,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,51.14M,0.67,24.35,4.10%,"3,690"
12,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,86.64M,5.77,4.4,2.09%,"9,403"
13,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,910.63M,9.05,27.62,2.91%,"131,881"
14,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,202.44M,-,7.34,1.94%,"361,357"
15,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.68B,48.52,69.29,2.80%,"69,133"
16,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,13.56B,23.03,214.86,2.16%,"370,254"
17,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2382.86B,28.16,143.76,2.02%,"69,681,526"
18,AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA,389.20M,-,9.73,0.31%,"5,464"
19,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,2.41B,131.62,39.75,0.79%,"103,496"
20,AATC,Autoscope Technologies Corporation,Technology,Scientific & Technical Instruments,USA,38.14M,12.68,6.91,-0.58%,"12,185"
21,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,54.22M,-,0.39,0.00%,"562,821"
22,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2.35B,4.98,79.44,0.32%,"723,394"
