No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,46.97B,47.87,153.65,0.41%,"1,759,088"
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,8.65B,20.75,47.05,-4.08%,"7,265,607"
3,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,17.55,0.29%,"205,944"
4,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1.22B,100.72,9.77,0.00%,"96,955"
5,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,68.64M,-,2.22,-1.93%,"17,009"
6,AACIU,Armada Acquisition Corp. I Unit,Financial,Shell Companies,USA,-,-,9.97,1.06%,216
7,AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USA,582.16M,-,27.63,-0.14%,"75,382"
8,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,62.48,-1.30%,"1,329"
9,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,120.26M,-,3.73,0.00%,"46,750"
10,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,12.60B,-,20.54,-4.33%,"37,146,124"
11,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,44.65M,0.65,23.5,-0.55%,"8,228"
12,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,90.14M,5.88,4.48,7.18%,"89,939"
13,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,881.83M,9.03,27.54,-1.36%,"138,433"
14,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,186.25M,-,6.87,0.00%,"224,734"
15,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.48B,47.36,67.63,-0.35%,"131,884"
16,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,13.37B,22.65,211.3,1.09%,"503,474"
17,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2328.36B,27.81,142.0,0.63%,"82,479,725"
18,AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA,389.20M,-,9.73,-0.10%,"26,983"
19,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,2.24B,125.23,37.82,0.40%,"196,481"
20,AATC,Autoscope Technologies Corporation,Technology,Scientific & Technical Instruments,USA,38.21M,12.94,7.05,-3.69%,"27,641"
21,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,54.13M,-,0.38,1.05%,"537,529"
22,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2.39B,5.28,84.13,-1.68%,"631,901"
23,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,83.62,-0.44%,"603,676"
24,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,4.88B,15.02,50.06,-1.03%,"204,415"
25,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,68.01B,74.04,32.8,-0.49%,"1,300,674"
26,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,191.03B,29.43,109.32,-0.17%,"5,576,688"
27,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,24.22B,-,116.9,-1.44%,"898,142"
28,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.56B,8.58,52.16,-0.87%,"275,662"
29,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,5.05B,21.01,15.55,-5.93%,"2,403,474"
30,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,4.71B,212.55,20.83,1.02%,"43,968"
31,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,98.73M,-,0.96,0.79%,"1,358,163"
32,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,27.19,0.07%,"3,729"
33,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,42.65B,16.04,2.71,-0.73%,"18,893,116"
34,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,3.77B,8.82,196.06,-2.10%,"104,369"
35,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,187.40M,-,9.68,-0.41%,1
36,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,39.83M,-,2.77,-1.42%,"134,774"
37,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.97B,21.56,46.0,-2.97%,"223,010"
38,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,15.41B,99.97,337.3,1.45%,"204,591"
39,ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA,101.94B,-,167.25,1.52%,"2,407,281"
40,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,584.79M,-,14.85,-3.00%,"95,914"
41,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,2.66B,8.25,18.99,0.16%,"883,565"
42,ABSI,Absci Corporation,Healthcare,Biotechnology,USA,1.00B,-,11.54,4.62%,"101,618"
43,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,678.86M,119.13,10.96,0.55%,"142,743"
44,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,208.14B,32.60,116.49,0.53%,"5,371,522"
45,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,760.62M,10.81,38.63,-0.39%,"23,746"
46,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,397.56M,-,4.0,-4.53%,"3,177,117"
47,ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,USA,54.51M,-,2.19,-0.45%,"142,119"
48,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,839.62M,7.86,37.25,-1.56%,"3,802"
49,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.44B,32.12,51.62,0.62%,"191,722"
50,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,2.58B,-,16.87,-0.30%,"559,023"
51,ACAHU,Atlantic Coastal Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.91,-0.10%,"1,963"
52,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.80B,-,7.35,0.68%,"3,200,834"
53,ACBAU,Ace Global Business Acquisition Limited,Financial,Shell Companies,Hong Kong,-,-,11.57,9.67%,7
54,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,534.56M,12.91,27.19,-1.06%,"60,655"
55,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,6.96B,783.38,50.92,1.11%,"629,020"
56,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,2.62B,-,40.1,-0.40%,"346,550"
57,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,807.31M,11.10,8.8,-1.01%,"232,696"
58,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1.09B,45.99,12.28,-2.92%,"109,356"
59,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,41.47M,-,2.9,16.47%,"13,074,919"
60,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,64.28,-0.40%,"246,563"
61,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,226.26M,-,7.37,-1.73%,"67,541"
62,ACEV,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,285.77M,-,9.94,0.00%,"210,586"
63,ACEVU,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.21,0.51%,"1,030"
64,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,15.84B,8.03,39.99,0.98%,"1,404,122"
65,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,-,5.20,25.84,-0.35%,"82,415"
66,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,18.49B,22.82,18.46,-3.75%,"128,386"
67,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,5.31B,33.28,60.64,-0.69%,"427,550"
68,ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,United Kingdom,319.93M,-,7.88,4.37%,"343,261"
69,ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,USA,2.02B,-,7.92,1.28%,"314,308"
70,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,77.33M,-,8.14,-6.97%,"140,121"
71,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,13.85B,23.24,28.38,-3.70%,"1,247,560"
72,ACII,Atlas Crest Investment Corp. II,Financial,Shell Companies,USA,417.90M,-,9.73,-0.51%,"20,855"
73,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,30.24,0.60%,"39,426"
74,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,456.54M,-,6.34,-2.31%,"321,361"
75,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.49B,41.36,30.4,-0.94%,"416,407"
76,ACKIT,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,-,-,10.02,0.00%,0
77,ACKIU,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,266.44M,-,10.22,0.00%,50
78,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.52B,25.92,45.88,-0.15%,"160,841"
79,ACM,AECOM,Industrials,Engineering & Construction,USA,8.78B,48.31,63.82,-0.08%,"654,989"
80,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,2.28B,84.67,114.98,-2.31%,"209,125"
81,ACN,Accenture plc,Technology,Information Technology Services,Ireland,213.42B,35.52,325.19,0.02%,"2,103,292"
82,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,248.16M,8.35,28.59,0.63%,"6,778"
83,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,45.55M,-,4.13,-0.24%,"71,651"
